place_id,place_name,place_type,building,floor,room_no,department,latitude,longitude,is_public,verification_status,aliases,notes
rit_main_gate,RIT Main Gate,gate,External,0,,Admin,13.038964,80.044928,true,verified_public,"main gate|entrance|front gate","Public coordinate from external sources; verify with campus map"
rit_campus_center,RIT Campus Reference Point,campus,Main Campus,0,,General,13.038964,80.044928,true,verified_public,"rit campus|rit chennai","Use as fallback when specific place is unknown"
rit_admin_block,Admin Block,building,Admin Block,0,,Admin,,,true,needs_verification,"admin office|admin block","Exact coordinates and internal rooms need campus confirmation"
rit_library,Central Library,library,Library Block,0,,General,,,true,needs_verification,"library|central library","Add exact floor and coordinate"
rit_exam_cell,Exam Cell,office,Admin Block,0,,Admin,,,false,needs_verification,"exam cell|coe office|controller office","Student service point; verify exact location"
rit_block_a,Block A,building,Block A,0,,General,,,true,needs_verification,"a block|block a","Add entrance coordinate"
rit_block_b,Block B,building,Block B,0,,General,,,true,needs_verification,"b block|block b","Add entrance coordinate"
rit_block_c,Block C,building,Block C,0,,General,,,true,needs_verification,"c block|block c","Add entrance coordinate"
rit_cse_office,CSE Department Office,office,Block A,0,,CSE,,,false,needs_verification,"cse office|computer science office","Verify floor and room"
rit_ece_office,ECE Department Office,office,Block B,0,,ECE,,,false,needs_verification,"ece office|electronics office","Verify floor and room"
rit_mech_office,Mechanical Department Office,office,Block C,0,,Mechanical,,,false,needs_verification,"mech office|mechanical office","Verify floor and room"
rit_a_101,Classroom A-101,classroom,Block A,1,A101,CSE,,,false,needs_verification,"a101|room a101|class a101","Placeholder row; replace with exact data"
rit_a_102,Classroom A-102,classroom,Block A,1,A102,CSE,,,false,needs_verification,"a102|room a102|class a102","Placeholder row; replace with exact data"
rit_a_201,Classroom A-201,classroom,Block A,2,A201,CSE,,,false,needs_verification,"a201|room a201|class a201","Placeholder row; replace with exact data"
rit_a_202,Classroom A-202,classroom,Block A,2,A202,CSE,,,false,needs_verification,"a202|room a202|class a202","Placeholder row; replace with exact data"
rit_b_101,Classroom B-101,classroom,Block B,1,B101,ECE,,,false,needs_verification,"b101|room b101|class b101","Placeholder row; replace with exact data"
rit_b_102,Classroom B-102,classroom,Block B,1,B102,ECE,,,false,needs_verification,"b102|room b102|class b102","Placeholder row; replace with exact data"
rit_c_101,Classroom C-101,classroom,Block C,1,C101,Mechanical,,,false,needs_verification,"c101|room c101|class c101","Placeholder row; replace with exact data"
rit_it_lab_1,IT Lab 1,lab,Block A,2,,CSE,,,false,needs_verification,"it lab 1|computer lab 1","Verify room number"
rit_placement_cell,Placement Cell,office,Admin Block,0,,Training & Placement,,,false,needs_verification,"placement office|tpo","Verify exact location"
rit_canteen,Main Canteen,canteen,Common Area,0,,General,,,true,needs_verification,"canteen|food court","Verify coordinate"
rit_boys_hostel,Boys Hostel,hostel,Hostel Zone,0,,General,,,true,needs_verification,"boys hostel","If outside main campus, add separate geofence"
rit_girls_hostel,Girls Hostel,hostel,Hostel Zone,0,,General,,,true,needs_verification,"girls hostel","If outside main campus, add separate geofence"
rit_bus_bay,Bus Bay,transport,External,0,,Transport,,,true,needs_verification,"bus stop|college bus bay","Verify nearest gate relation"
rit_parking,Parking Area,parking,External,0,,General,,,true,needs_verification,"parking|vehicle parking","Add capacity if needed"
